,Open,High,Low,Close,Volume,VolumeTicks
2023.08.17 12:28,117565.00000,117605.00000,117505.00000,117595.00000,17577,59923
2023.08.17 12:29,117590.00000,117615.00000,117555.00000,117580.00000,5806,20361
2023.08.17 12:30,117585.00000,117615.00000,117570.00000,117605.00000,4389,16402
2023.08.17 12:31,117600.00000,117645.00000,117585.00000,117595.00000,6806,22494
2023.08.17 12:32,117595.00000,117635.00000,117585.00000,117615.00000,4269,15057
2023.08.17 12:33,117615.00000,117630.00000,117570.00000,117580.00000,4406,16668
2023.08.17 12:34,117580.00000,117635.00000,117570.00000,117610.00000,3844,12373
2023.08.17 12:35,117610.00000,117645.00000,117600.00000,117615.00000,3336,11330
2023.08.17 12:36,117620.00000,117635.00000,117595.00000,117610.00000,3049,11438
2023.08.17 12:37,117615.00000,117670.00000,117600.00000,117615.00000,7684,24753
2023.08.17 12:38,117615.00000,117690.00000,117605.00000,117675.00000,7640,26713
2023.08.17 12:39,117680.00000,117700.00000,117640.00000,117655.00000,6107,22856
2023.08.17 12:40,117660.00000,117715.00000,117630.00000,117715.00000,7488,25923
2023.08.17 12:41,117715.00000,117740.00000,117685.00000,117695.00000,9276,33425
2023.08.17 12:42,117695.00000,117705.00000,117675.00000,117685.00000,3175,11131
2023.08.17 12:43,117685.00000,117685.00000,117610.00000,117620.00000,9109,32095
2023.08.17 12:44,117615.00000,117625.00000,117570.00000,117590.00000,8692,30260
2023.08.17 12:45,117590.00000,117675.00000,117590.00000,117665.00000,8745,31870
2023.08.17 12:46,117660.00000,117670.00000,117615.00000,117635.00000,3848,13624
2023.08.17 12:47,117640.00000,117640.00000,117605.00000,117635.00000,2921,11104
2023.08.17 12:48,117635.00000,117640.00000,117555.00000,117580.00000,8044,28045
2023.08.17 12:49,117575.00000,117590.00000,117410.00000,117495.00000,27167,105435
2023.08.17 12:50,117490.00000,117525.00000,117470.00000,117505.00000,11432,43629
2023.08.17 12:51,117505.00000,117540.00000,117490.00000,117495.00000,5563,19588
2023.08.17 12:52,117500.00000,117540.00000,117480.00000,117510.00000,6019,24225
2023.08.17 12:53,117510.00000,117530.00000,117455.00000,117460.00000,5591,20614
2023.08.17 12:54,117460.00000,117460.00000,117320.00000,117360.00000,21772,87920
2023.08.17 12:55,117355.00000,117475.00000,117355.00000,117465.00000,15445,62220
2023.08.17 12:56,117460.00000,117505.00000,117440.00000,117500.00000,8455,31008
2023.08.17 12:57,117500.00000,117575.00000,117490.00000,117565.00000,9067,32623
2023.08.17 12:58,117565.00000,117590.00000,117515.00000,117535.00000,9132,34244
2023.08.17 12:59,117535.00000,117570.00000,117530.00000,117560.00000,3603,12508
2023.08.17 13:00,117565.00000,117565.00000,117530.00000,117535.00000,3365,11227
2023.08.17 13:01,117535.00000,117540.00000,117480.00000,117500.00000,8546,33031
2023.08.17 13:02,117505.00000,117510.00000,117465.00000,117475.00000,4667,17624
2023.08.17 13:03,117480.00000,117495.00000,117450.00000,117465.00000,4264,15727
2023.08.17 13:04,117470.00000,117470.00000,117420.00000,117435.00000,5923,20296
2023.08.17 13:05,117435.00000,117490.00000,117405.00000,117485.00000,9296,33210
2023.08.17 13:06,117480.00000,117515.00000,117470.00000,117500.00000,6284,23198
2023.08.17 13:07,117495.00000,117535.00000,117485.00000,117535.00000,4568,14067
2023.08.17 13:08,117530.00000,117550.00000,117505.00000,117525.00000,5533,19189
2023.08.17 13:09,117530.00000,117580.00000,117525.00000,117555.00000,6129,21632
2023.08.17 13:10,117555.00000,117640.00000,117555.00000,117610.00000,10977,38321
2023.08.17 13:11,117610.00000,117625.00000,117595.00000,117610.00000,4111,14133
2023.08.17 13:12,117605.00000,117630.00000,117585.00000,117605.00000,3788,14311
2023.08.17 13:13,117610.00000,117640.00000,117595.00000,117630.00000,3147,10135
2023.08.17 13:14,117630.00000,117645.00000,117595.00000,117615.00000,4500,16175
2023.08.17 13:15,117615.00000,117635.00000,117605.00000,117625.00000,2303,7487
2023.08.17 13:16,117625.00000,117645.00000,117610.00000,117635.00000,3083,10367
2023.08.17 13:17,117635.00000,117700.00000,117635.00000,117685.00000,10725,35762
2023.08.17 13:18,117690.00000,117710.00000,117675.00000,117695.00000,4815,15659
