,Open,High,Low,Close,Volume,VolumeTicks
2023.10.05 12:46,113270.00000,113290.00000,113210.00000,113220.00000,2259,26701
2023.10.05 12:47,113225.00000,113260.00000,113185.00000,113230.00000,1800,23150
2023.10.05 12:48,113230.00000,113270.00000,113220.00000,113270.00000,1095,12086
2023.10.05 12:49,113270.00000,113300.00000,113240.00000,113255.00000,1552,18762
2023.10.05 12:50,113250.00000,113255.00000,113125.00000,113160.00000,3311,48057
2023.10.05 12:51,113165.00000,113240.00000,113150.00000,113215.00000,2659,34888
2023.10.05 12:52,113210.00000,113230.00000,113175.00000,113225.00000,1397,20189
2023.10.05 12:53,113225.00000,113275.00000,113215.00000,113255.00000,2119,26220
2023.10.05 12:54,113250.00000,113270.00000,113220.00000,113260.00000,1290,19002
2023.10.05 12:55,113260.00000,113305.00000,113250.00000,113300.00000,1959,25407
2023.10.05 12:56,113295.00000,113315.00000,113260.00000,113290.00000,1683,23770
2023.10.05 12:57,113295.00000,113300.00000,113165.00000,113205.00000,2866,45299
2023.10.05 12:58,113205.00000,113220.00000,113180.00000,113195.00000,1319,12354
2023.10.05 12:59,113190.00000,113220.00000,113165.00000,113210.00000,1679,15687
2023.10.05 13:00,113210.00000,113255.00000,113175.00000,113235.00000,2235,26569
2023.10.05 13:01,113230.00000,113285.00000,113225.00000,113260.00000,1807,22023
2023.10.05 13:02,113260.00000,113310.00000,113245.00000,113300.00000,1449,19029
2023.10.05 13:03,113300.00000,113315.00000,113260.00000,113295.00000,1466,17823
2023.10.05 13:04,113295.00000,113305.00000,113245.00000,113295.00000,1348,16733
2023.10.05 13:05,113290.00000,113335.00000,113285.00000,113330.00000,1813,22621
2023.10.05 13:06,113330.00000,113335.00000,113295.00000,113310.00000,1376,14059
2023.10.05 13:07,113305.00000,113325.00000,113260.00000,113265.00000,1508,19173
2023.10.05 13:08,113260.00000,113295.00000,113260.00000,113285.00000,1080,10738
2023.10.05 13:09,113285.00000,113320.00000,113260.00000,113280.00000,1255,14542
2023.10.05 13:10,113280.00000,113320.00000,113275.00000,113300.00000,1110,12385
2023.10.05 13:11,113300.00000,113355.00000,113285.00000,113350.00000,1641,22336
2023.10.05 13:12,113350.00000,113365.00000,113330.00000,113345.00000,1771,21071
2023.10.05 13:13,113340.00000,113355.00000,113315.00000,113335.00000,1104,12988
2023.10.05 13:14,113335.00000,113360.00000,113335.00000,113345.00000,937,7481
2023.10.05 13:15,113340.00000,113345.00000,113285.00000,113290.00000,1613,26432
2023.10.05 13:16,113290.00000,113290.00000,113220.00000,113220.00000,3107,37911
2023.10.05 13:17,113220.00000,113280.00000,113215.00000,113260.00000,2150,27108
2023.10.05 13:18,113260.00000,113275.00000,113240.00000,113250.00000,1079,15342
2023.10.05 13:19,113250.00000,113260.00000,113215.00000,113245.00000,1527,19165
2023.10.05 13:20,113245.00000,113280.00000,113225.00000,113280.00000,1185,13695
2023.10.05 13:21,113275.00000,113350.00000,113270.00000,113335.00000,2797,36137
2023.10.05 13:22,113335.00000,113345.00000,113315.00000,113325.00000,1474,15493
2023.10.05 13:23,113325.00000,113350.00000,113305.00000,113305.00000,1125,12638
2023.10.05 13:24,113305.00000,113340.00000,113305.00000,113335.00000,949,11467
2023.10.05 13:25,113330.00000,113360.00000,113320.00000,113360.00000,1302,17508
2023.10.05 13:26,113360.00000,113375.00000,113345.00000,113370.00000,1390,17592
2023.10.05 13:27,113365.00000,113380.00000,113350.00000,113365.00000,1419,16070
2023.10.05 13:28,113365.00000,113395.00000,113350.00000,113385.00000,1520,18369
2023.10.05 13:29,113385.00000,113395.00000,113360.00000,113380.00000,1164,10949
2023.10.05 13:30,113385.00000,113435.00000,113370.00000,113385.00000,3162,39339
2023.10.05 13:31,113385.00000,113405.00000,113345.00000,113375.00000,2283,28815
2023.10.05 13:32,113370.00000,113385.00000,113325.00000,113375.00000,1946,23364
2023.10.05 13:33,113370.00000,113395.00000,113355.00000,113370.00000,1129,11650
2023.10.05 13:34,113370.00000,113375.00000,113330.00000,113335.00000,1113,12604
2023.10.05 13:35,113330.00000,113360.00000,113315.00000,113355.00000,1890,27395
2023.10.05 13:36,113350.00000,113370.00000,113325.00000,113370.00000,1015,15023
2023.10.05 13:37,113370.00000,113400.00000,113350.00000,113360.00000,1552,20198
2023.10.05 13:38,113360.00000,113425.00000,113355.00000,113415.00000,1586,18612
2023.10.05 13:39,113415.00000,113425.00000,113370.00000,113370.00000,1530,17165
2023.10.05 13:40,113370.00000,113375.00000,113305.00000,113315.00000,2681,31387
2023.10.05 13:41,113315.00000,113335.00000,113290.00000,113320.00000,1650,20045
2023.10.05 13:42,113320.00000,113350.00000,113295.00000,113295.00000,1283,17053
2023.10.05 13:43,113295.00000,113315.00000,113280.00000,113310.00000,1406,15112
2023.10.05 13:44,113305.00000,113315.00000,113270.00000,113305.00000,1604,18381
2023.10.05 13:45,113300.00000,113310.00000,113245.00000,113265.00000,2560,29735
